row_id,performa_type,performa_date,series,sale_type,order_code,account_detail,customer_code,customer_name,status,amount,description
80.0,پیش‌فاکتور,1404/09/23,1.0,OEM,29528.0,J10099,09/740,مهر صنعت دیار نون,مختومه,0.0,60الی 75 روز
81.0,پیش‌فاکتور,1404/10/10,1.0,pcb,29529.0,404J/10/007,09/588,صنعت سازه سیم پویش,جاری,22895428.3,7 الی 10 روز بعد از تایید 
82.0,پیش‌فاکتور,1404/10/11,1.0,pcb,29532.0,404/J/1/001,09/741,هوشمند سازان انژی سبز,جاری,9737457.0,
83.0,پیش‌فاکتور,1404/10/11,1.0,pcb,29533.0,404/J/1/001,09/741,هوشمند سازان انژی سبز,جاری,9745081.6,
84.0,پیش‌فاکتور,1404/10/11,1.0,pcb,29534.0,404/J/1/001,09/741,هوشمند سازان انژی سبز,جاری,9745055.9,
85.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29535.0,404J/10/010,09/090,نیان الکترونیک,جاری,13381093.0,60الی 75 روز بعد از پیش پرداخت
86.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29536.0,1404J/10/011,09/090,نیان الکترونیک,جاری,145334808.1,60 الی 75 روز بعد از پیش پرداخت
87.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29537.0,404J/10/012,09/090,نیان الکترونیک,جاری,60485226.6,60 الی 75
88.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29538.0,404J/10/013,09/090,نیان الکترونیک,جاری,81940277.1,60الی 75 روز
89.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29539.0,404J/10/013,09/090,نیان الکترونیک,جاری,46843167.4,60 الی 75وز
90.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29540.0,404J/10/014,09/090,نیان الکترونیک,جاری,222374900.0,60 الی 75 روز
91.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29541.0,404J/10/015,09/090,نیان الکترونیک,جاری,54853365.6,60 الی 75 روز
92.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29543.0,404J/10/016 ,09/090,نیان الکترونیک,جاری,7945465.0,60الی 75 روز
