row_id,invoice_type,invoice_date,customer_code,customer_name,order_code,account_detail,subtotal,tax,total_amount
174.0,فاکتور فروش,1403/06/16,09/243,تابا الکترونیک,تابا الکترونیک  - ‏_x001F_29167,403J/01117,121951033.0,12195103.3,135365646.6
175.0,فاکتور فروش,1403/06/16,09/038,فاراتل,فاراتل  - ‏_x001F_29079,403J/01106,5098669.0,509866.9,5608535.9
176.0,فاکتور فروش,1403/06/17,09/083,سازه پویش,سازه پویش - 29055,403J/01102,271106550.0,27110655.0,298217205.0
177.0,فاکتور فروش,1403/06/18,09/038,فاراتل,فاراتل  - 29183,403J/01112,5432731.6,543273.2,6226004.8
178.0,فاکتور فروش,1403/06/19,09/094,شیوا امواج,شیوا امواج - 29018,403J/01088,184995800.0,18499580.0,203495380.0
179.0,فاکتور فروش,1403/06/21,09/038,فاراتل,فاراتل  - ‏_x001F_29093,403J/01112,75194740.0,7519474.0,83466161.4
180.0,فاکتور فروش,1403/06/21,09/083,سازه پویش,سازه پویش - 29059,403J/01102,1511216161.2,151121616.1,1662337777.3
181.0,فاکتور فروش,1403/06/22,09/243,تابا الکترونیک,تابا الکترونیک  - 29163,403J/01117,93888501.0,9388850.1,106368651.1
182.0,فاکتور فروش,1403/06/22,09/489,الکترونیک کاران,الکترونیک کاران - 29212,402J/01049,550517500.0,55051750.0,611074425.0
183.0,فاکتور فروش,1403/06/22,09/083,سازه پویش,سازه پویش - 29194,403J/01114,80202220.0,8020222.0,88222442.0
184.0,فاکتور فروش,1403/06/31,09/552,نیکو الکترونیک پیشرو,,پروژه عمومی,5663000.0,566300.0,6229300.0
185.0,فاکتور فروش,1403/06/31,09/083,سازه پویش,سازه پویش - 819,403J/01114,3000000.0,300000.0,3300000.0
186.0,فاکتور فروش,1403/07/02,09/083,سازه پویش,سازه پویش - 29055,403J/01102,135914750.4,13591475.0,149506225.4
187.0,فاکتور فروش,1403/07/03,09/083,سازه پویش,سازه پویش - 29055,403J/01102,271106550.0,27110655.0,298217205.0
188.0,فاکتور فروش,1403/07/04,09/083,سازه پویش,سازه پویش - 29055,403J/01102,271106550.0,27110655.0,298217205.0
189.0,فاکتور فروش,1403/07/05,09/083,سازه پویش,سازه پویش - 29055,403J/01102,216885240.0,21688524.0,238573764.0
190.0,فاکتور فروش,1403/07/05,09/038,فاراتل,فاراتل  - 29089,403J/01112,93983590.0,9398359.0,103631949.0
191.0,فاکتور فروش,1403/07/07,09/083,سازه پویش,سازه پویش - 29055,403J/01102,271106550.0,27110655.0,298217205.0
192.0,فاکتور فروش,1403/07/08,09/094,شیوا امواج,شیوا امواج - 29018,403J/01088,98479893.6,9847989.4,108327883.0
193.0,فاکتور فروش,1403/07/09,09/083,سازه پویش,سازه پویش - 29055,403J/01102,271106550.0,27110655.0,298217205.0
194.0,فاکتور فروش,1403/07/09,09/089,مهندسی مهاران,مهندسی مهاران - ‏_x001F_29188,403J/01121,23263870.0,2326387.0,25590257.0
195.0,فاکتور فروش,1403/07/09,09/089,مهندسی مهاران,مهندسی مهاران - ‏_x001F_29190,403J/01121,32944766.0,3294476.6,36239242.6
196.0,فاکتور فروش,1403/07/10,09/089,مهندسی مهاران,مهندسی مهاران - ‏_x001F_29192,403J/01121,16850590.0,1685059.0,18535649.0
